Индекс производства (оперативные данные) (ОКВЭД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Деятельность полиграфическая и копирование носителей информации,135.5,180.1,195.8,198.7,189.5,170.5,174.6,148.8,133,144.4,150.6,159,123.2,77.9,61.6,60.1,59.8,57.9,59.7,69,70.3,66,61.9,59.3,93.5,152.3,141,132.9,121.9,124.9,115.9,102.3,103.3,101.4,103.1,113.1
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство кокса и нефтепродуктов,87,85.8,82.7,82.6,88.4,90.5,88.6,87.3,86.2,85.2,85.3,85.8,110.8,114.8,119.5,117.7,116.7,122.2,122.3,122,122.1,122.2,120.4,118.6,103.6,100.8,101.3,103.1,104.9,103.2,102.6,103.5,100.5,100.3,101.5,101.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство химических веществ и химических продуктов,114.3,115.2,111.2,100.5,102.9,100.2,97.3,97.4,97,98,99,98.7,96.7,99.2,104.7,116.6,114.2,112.7,114.4,113.8,114.1,114.4,113.7,113.3,105,107.7,105.4,104.4,103.6,100.8,99.8,100.6,100.8,99.5,97.6,97
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",125.6,125.1,125.9,128.4,105.3,103,105,103.1,104.3,110.5,115.4,115.5,129.1,144.2,133.1,123.2,123,119,120.4,123.8,129.4,119.8,115.4,113.7,97.9,86.3,88.9,99.8,99.8,103.7,103.5,98.2,92,94.8,102.1,103.8
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство резиновых и пластмассовых изделий,120.4,112,117.1,112.7,109.6,111.5,114.6,117.2,116,116.6,115,111.8,95,99.5,106,107.5,115.3,113.9,110.9,110.1,109.4,108.6,107.3,109,105.2,120.1,116,111.6,109.5,106.4,107.2,105,105.6,105.6,104.9,103.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство прочей неметаллической минеральной продукции,135.9,138.2,136.7,134.2,123.3,117.1,112.5,111,110.1,109.7,109.6,110.1,90.3,100.9,105,115.5,123,117.9,116.7,119.5,123.6,127.2,131.5,129.4,115.7,104.6,98.3,88.8,87.3,90,91.4,90.5,90.6,91.3,91.6,92.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство металлургическое,84.9,103.3,109.2,106.5,101.1,100.7,103.6,106,106.9,107.1,104.9,103.5,119.2,103.7,98.1,96.4,100,102.8,102.7,102.8,102.8,103.1,104.3,105.1,83.2,95,96,98,98.4,95.5,95,95,94.5,95.7,95.8,95.7
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Производство готовых металлических изделий, кроме машин и оборудования",174.1,169.2,174.6,154,150.2,142.8,131.6,123.9,118.4,118.5,118.9,118.1,78.2,87.8,89.2,91.9,98.9,106.7,110.9,111.8,110.4,107.1,105.3,104.2,132.9,143.5,136.5,130.3,124.1,113.3,109.1,106.1,106.2,106.7,108.2,107.7
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Производство компьютеров, электронных и оптических изделий",45.6,46.8,66.8,65.4,72.7,69.8,77.5,82.5,83.1,85.9,109.5,110.4,92.6,242.5,217.2,258,242.3,235.9,215.5,208.1,200.6,203.3,156.3,145,204.9,118.1,90.5,74.7,69.1,66.8,68.7,68.1,71,72.5,78.2,82.6
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство электрического оборудования,107.1,96.7,92.3,96.5,99.6,97.6,96.9,96.1,95.6,100.1,101.9,101.4,105.9,98.6,99.5,97.4,102.8,107.8,109.7,113.8,114.2,110.3,109.5,108.2,115.6,129.4,133.3,134.3,128.9,123.7,123.1,116,119.1,120.3,119.4,120.9
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Производство машин и оборудования, не включенных в другие группировки",190.4,142.2,108.6,103.8,103.3,96.2,96,86.4,91.8,90.5,94.1,106,61.8,72.9,66.8,79.4,80.2,94,90.7,94.9,86.5,86.2,89.8,85.7,68.9,58.2,90.2,94.3,107.9,93.4,94,97.6,106.8,109.7,108.6,113.7
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Производство автотранспортных средств, прицепов и полуприцепов",156.8,173,183,176.2,181.6,185.7,203.3,197.4,186.1,175.4,173.3,178.6,81.3,89.3,101.3,94.9,95.8,98,94,97.2,100.6,102.3,101.7,100,260.6,196.6,158,159.2,159.2,150.2,144.8,137.2,151.7,149.1,146.2,138.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство прочих транспортных средств и оборудования,108.9,128.2,116.4,115.9,155.9,183.1,177.5,172.6,162.6,160.3,158.6,155.1,102,48.7,141.6,140.5,116,102.9,110.5,116.5,121.3,124.5,127.2,129.8,123.4,122.6,52.1,60.2,67,72.4,75.2,77.9,80.5,81.1,81.6,93.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство мебели,147.8,103.8,94.8,104.5,107.9,110.1,99.5,96.3,95.2,96.1,103.4,109.5,83.1,90.3,89.6,83,90.9,97.7,106,118.9,117,125,117.9,113.8,117.7,119.4,117.2,112.7,106.4,101.6,101.4,91.5,96,90.1,89.4,89.9
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство прочих готовых изделий,132.5,109.1,109.9,102.9,100.9,97.1,98.4,98.8,99.1,98.1,100.3,99.9,87.4,99.6,94.6,99.6,105.9,103,102.1,103.6,102.8,102.8,101,100.4,112.5,108.5,101.4,100,100.8,100.6,100.9,98.6,99,100.5,100.2,103.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Ремонт и монтаж машин и оборудования,96.7,104.8,116.6,118,124.1,115,121.5,125.3,126.1,130.2,125.2,114.3,104.9,112.3,127,112.9,107.7,114,102.3,106.9,100.9,94.2,105.2,106.2,86,100.8,93.5,112.9,109.6,107.6,112.8,103.6,111.9,120.9,119.6,117.7
