,0,1,2,3,4,5,6,7,8,9
26,Северо-Западный федеральный округ,"43,1","42,3","40,3","29,6","31,9","28,3","24,5","25,0","23,3"
27,Республика Карелия,"2,3","2,4","2,1","1,9","1,9","1,7","1,6","1,6","1,5"
28,Республика Коми,"3,2","3,8","3,0","2,3","3,0","2,3","1,8","2,1","1,8"
29,Архангельская область,"5,7","6,4","5,3","4,7","5,3","4,4","4,1","4,3","3,8"
30,в том числе: Ненецкий авт. округ,"0,2","0,2","0,2","0,1","0,1","0,2","0,1","0,1","0,1"
31,Архангельская область без авт. округа,"5,5","6,2","5,1","4,6","5,2","4,2","4,1","4,2","3,7"
32,Вологодская область,"3,9","5,2","3,7","3,2","4,4","3,1","2,8","3,7","2,8"
33,Калининградская область,"3,4","4,1","3,1","2,3","2,2","2,1","1,9","1,8","1,8"
34,Ленинградская область,"3,1","2,8","2,7","2,2","2,0","1,9","1,8","1,5","1,6"
35,Мурманская область,"2,6","2,7","2,4","1,7","1,9","1,6","1,3","1,4","1,3"
36,Новгородская область,"1,4","1,6","1,3","1,2","1,3","1,1","1,0","1,2","0,9"
37,Псковская область,"1,4","1,6","1,4","0,9","1,3","1,0","0,9","1,2","0,9"
38,г. Санкт-Петербург,"16,2","11,7","15,3","9,3","8,6","9,1","7,2","6,3","6,9"
39,Южный федеральный округ,"32,1","32,9","30,3","25,6","26,4","24,9","22,3","22,2","21,5"
40,Республика Адыгея,"0,9","1,0","0,9","0,8","0,9","0,8","0,7","0,7","0,7"
41,Республика Калмыкия,"1,2","1,3","1,2","1,0","1,2","1,0","0,8","0,9","0,8"
42,Республика Крым,"4,3","4,5","4,2","3,8","3,9","3,7","3,3","3,2","3,2"
43,Краснодарский край,"10,6","10,2","9,6","7,9","7,5","7,5","6,6","6,1","6,2"
44,Астраханская область,"3,2","3,8","3,1","2,8","3,4","2,8","2,6","3,0","2,6"
45,Волгоградская область,"3,1","3,0","2,8","2,2","2,2","2,1","1,9","2,0","1,9"
46,Ростовская область,"8,0","8,5","7,7","6,6","7,0","6,5","5,9","6,0","5,8"
47,г. Севастополь,"0,8","0,6","0,8","0,5","0,4","0,5","0,4","0,3","0,4"
48,Северо-Кавказский федеральный округ,"61,0","93,6","62,0","56,2","90,0","57,3","22,3","71,7","28,3"
49,Республика Дагестан,"7,5","12,1","7,5","6,8","11,3","6,9","4,3","5,1","4,3"
50,Республика Ингушетия,"16,7","24,7","17,1","15,3","24,4","15,7","7,3","22,9","13,6"
51,Кабардино-Балкарская Республика,"2,4","3,7","2,3","2,2","3,4","2,1","1,7","1,8","1,6"
52,Карачаево-Черкесская Республика,"1,7","2,1","1,7","1,0","1,4","1,0","0,8","1,1","0,8"
53,Республика Северная Осетия - Алания,"2,6","2,4","2,7","2,1","2,1","2,2","1,7","1,6","1,7"
54,Чеченская Республика,"25,6","42,9","26,0","24,9","42,6","25,4","3,0","35,3","2,8"
55,Ставропольский край,"4,7","5,6","4,6","3,9","4,9","3,9","3,5","3,9","3,5"
56,Приволжский федеральный округ,"55,2","66,4","51,2","41,4","50,9","39,4","36,8","44,3","35,1"
57,Республика Башкортостан,"11,3","11,7","10,3","9,7","10,1","9,0","8,4","8,8","7,9"
58,Республика Марий Эл,"1,5","1,4","1,4","1,1","1,2","1,1","1,0","1,0","1,0"
59,Республика Мордовия,"1,8","2,3","1,7","1,3","1,7","1,3","1,2","1,3","1,2"
60,Республика Татарстан,"4,4","5,2","3,8","3,3","3,6","3,0","2,9","3,1","2,6"
61,Удмуртская Республика,"2,8","3,1","2,6","2,1","2,4","2,0","2,0","2,2","1,8"
62,Чувашская Республика,"3,0","2,9","2,8","2,5","2,2","2,3","2,2","1,9","2,1"
63,Пермский край,"4,8","6,5","4,5","3,7","4,8","3,6","3,4","4,2","3,3"
64,Кировская область,"1,7","3,8","1,5","1,1","2,6","1,0","1,0","2,4","0,9"
65,Нижегородская область,"1,5","4,7","1,1","0,2","3,7","0,2","0,2","3,2","0,2"
66,Оренбургская область,"7,9","8,3","8,4","5,5","5,4","5,6","4,6","4,5","4,6"
67,Пензенская область,"2,5","2,4","2,4","2,0","1,9","2,0","1,8","1,7","1,8"
68,Самарская область,"5,6","6,4","5,2","4,6","5,6","4,3","4,2","4,8","3,9"
69,Саратовская область,"4,2","5,3","3,8","3,2","4,3","2,9","2,9","3,8","2,7"
70,Ульяновская область,"2,2","2,5","1,8","1,2","1,4","1,1","1,1","1,3","1,0"
71,Уральский федеральный округ,"30,1","31,6","27,8","22,5","23,5","21,2","18,8","18,8","17,7"
72,Курганская область,"1,1","1,4","0,9","0,8","1,0","0,7","0,6","0,9","0,6"
73,Свердловская область,"12,2","13,9","11,2","9,4","10,4","8,7","8,2","8,6","7,4"
74,Тюменская область,"8,0","7,4","7,7","5,0","4,6","4,9","3,8","3,3","3,8"
75,в том числе: Ханты-Мансийский авт. округ - Югра,"3,1","3,1","3,0","1,9","1,9","1,9","1,4","1,3","1,5"
76,Ямало-Ненецкий авт. округ,"1,1","1,2","1,1","0,7","0,6","0,7","0,4","0,4","0,5"
77,Тюменская область без авт. округов,"3,8","3,1","3,6","2,4","2,1","2,3","2,0","1,6","1,8"
78,Челябинская область,"8,8","8,9","8,0","7,3","7,4","6,9","6,2","6,0","5,9"
79,Сибирский федеральный округ,"65,7","67,4","62,6","55,1","57,0","52,9","46,8","46,1","44,6"
80,Республика Алтай,"1,9","2,1","1,9","1,8","1,9","1,7","1,5","1,7","1,5"
81,Республика Тыва,"3,5","4,4","3,6","3,2","4,1","3,3","2,5","2,8","2,5"
82,Республика Хакасия,"2,3","2,2","2,1","2,0","1,9","1,9","1,7","1,6","1,6"
83,Алтайский край,"9,7","10,2","9,6","8,5","9,1","8,4","7,6","7,9","7,6"
84,Красноярский край,"11,1","10,7","10,5","9,3","8,9","8,9","7,4","6,9","7,0"
85,Иркутская область,"5,9","7,6","5,6","4,5","6,0","4,3","4,1","4,9","3,9"
86,Кемеровская область,"9,8","8,2","8,9","8,1","6,8","7,3","6,8","5,6","6,1"
87,Новосибирская область,"9,1","9,3","8,4","7,6","7,6","7,3","6,7","6,7","6,3"
88,Омская область,"8,9","9,1","8,6","7,2","7,6","7,0","6,1","5,6","5,8"
89,Томская область,"3,6","3,7","3,4","2,9","3,1","2,8","2,4","2,4","2,3"
90,Дальневосточный федеральный округ,"26,1","29,8","25,0","19,9","24,2","19,6","17,2","19,3","16,7"
91,Республика Бурятия,"2,3","2,4","2,2","2,0","2,0","1,9","1,8","1,8","1,8"
92,Республика Саха (Якутия),"3,1","3,8","3,1","2,4","3,0","2,3","1,7","1,7","1,6"
93,Забайкальский край,"5,7","6,1","5,4","4,5","5,3","4,4","4,1","4,7","4,0"
94,Камчатский край,"0,8","1,2","0,8","0,7","0,9","0,6","0,5","0,6","0,5"
95,Приморский край,"6,5","6,9","6,3","5,3","5,9","5,1","4,8","5,1","4,6"
96,Хабаровский край,"2,7","3,2","2,3","1,5","2,3","1,4","1,3","1,8","1,2"
97,Амурская область,"2,2","3,2","2,3","1,9","2,8","2,0","1,8","2,3","1,9"
98,Магаданская область,"0,5","0,5","0,5","0,4","0,4","0,4","0,2","0,2","0,2"
99,Сахалинская область,"1,6","1,6","1,5","0,8","0,9","0,7","0,7","0,7","0,6"
100,Еврейская авт. область,"0,5","0,8","0,5","0,4","0,6","0,4","0,4","0,5","0,4"
101,Чукотский авт. округ,"0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1"
